Country;Carbon Intensity (kgCO2e/kWh)
Albania;0.0207635
Algeria;1.02318
Angola;0.412014
Argentina;0.476811
Armenia;0.252002
Australia;1.12326
Austria;0.245573
Azerbaijan;0.726126
Bahrain;0.804567
Bangladesh;0.795168
Belarus;0.795697
Belgium;0.256537
Benin;1.19128
Bolivia;0.585131
Bosnia-Herzegovina;1.56025
Botswana;2.12572
Brazil;0.278647
Brunei Darussalam;0.997577
Bulgaria;0.827087
Cambodia;1.41054
Cameroon;0.456622
Canada;0.238191
Chile;0.574415
China;1.05738
Colombia;0.214014
Congo;0.904053
Congo. The Democratic Republic Of The;0.0613102
Costa Rica;0.224471
Cote D'ivoire;0.928583
Croatia;0.535759
Cuba;1.28325
Cyprus;0.978041
Czech Republic;0.799077
Denmark;0.633534
Dominican Republic;0.909252
Ecuador;0.627714
Egypt;0.587775
El Salvador;0.473128
Eritrea;1.13153
Estonia;1.51492
Ethiopia;0.251299
Europe;0.509427
Finland;0.322068
France;0.0813225
Gabon;0.732511
Georgia;0.132046
Germany;0.657374
Ghana;0.540126
Gibraltar;0.977477
Greece;1.13127
Guatemala;0.645801
Haiti;1.3858
Honduras;0.692837
Hong Kong;0.95888
Hungary;0.541558
Iceland;0.0194609
India;1.58299
Indonesia;0.875394
Iran. Islamic Republic Of;0.930385
Iraq;1.48728
Ireland;0.648118
Israel;0.901842
Italy;0.621329
Jamaica;1.07345
Japan;0.540891
Jordan;0.781372
Kazakhstan;1.128
Kenya;0.589603
Korea. Democratic People's Republic Of;0.797361
Korea. Republic Of;0.599585
Kuwait;0.885084
Kyrgyzstan;0.156039
Latvia;0.234273
Lebanon;0.883627
Libya;1.35361
Lithuania;0.154229
Luxembourg;0.490016
Malaysia;0.832206
Malta;1.31149
Mexico;0.739214
Moldova. Republic Of;1.04213
Mongolia;1.47192
Morocco;0.933694
Mozambique;0.00880732
Myanmar;0.48193
Namibia;0.357253
Nepal;0.0841323
Netherlands;0.544803
Netherlands Antilles;1.13161
New Zealand;0.293397
Nicaragua;0.941626
Nigeria;0.693123
North Macedonia;1.24074
Norway;0.023754
Oman;1.41292
Pakistan;0.748727
Panama;0.53403
Paraguay;0.241601
Peru;0.284364
Philippines;0.761317
Poland;1.15075
Portugal;0.571172
Qatar;0.722125
Romania;0.664245
Russian Federation;0.66131
Saudi Arabia;0.913677
Senegal;1.1195
Serbie ;1.07808
Singapore;0.655825
Slovakia;0.309341
Slovenia;0.498523
South Africa;1.17562
Spain;0.467803
Sri Lanka;0.709185
Sudan;1.12472
Sweden;0.0464664
Switzerland;0.0448568
Syria;1.08778
Taiwan;0.845351
Tajikistan;0.0426743
Tanzania. United Republic Of;0.475635
Thailand;0.646174
Togo;0.545455
Trinidad and Tobago;0.933059
Tunisia;0.80722
Turkey;0.706988
Turkmenistan;1.38296
Ukraine;0.646745
United Arab Emirates;1.09088
United Kingdom;0.602137
United States;0.67978
Uruguay;0.296953
Uzbekistan;0.81178
Venezuela;0.497373
Vietnam;0.555572
World;0.590478
Yemen;1.06777
Zambia;0.0141304
Zimbabwe;0.842811
